actor_id,type,frame,speed (m/s),heading (rad),yaw_rate (rad/s)
041b9e3abcab4e5c8c3eded8054415cb,car,0,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,1,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,2,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,3,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,4,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,5,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,6,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,7,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,8,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,9,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,10,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,11,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,12,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,13,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,14,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,15,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,16,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,17,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,18,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,19,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,20,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,21,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,22,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,23,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,24,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,25,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,26,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,27,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,28,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,29,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,30,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,31,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,32,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,33,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,34,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,35,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,36,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,37,0.0,0.0,0.0
041b9e3abcab4e5c8c3eded8054415cb,car,38,0.0,0.0,0.0
