actor_id,type,frame,speed (m/s),heading (rad),yaw_rate (rad/s),longitudinal,lateral
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,0,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,1,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,2,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,3,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,4,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,5,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,6,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,7,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,8,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,9,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,10,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,11,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,12,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,13,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,14,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,15,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,16,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,17,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,18,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,19,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,20,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,21,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,22,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,23,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,24,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,25,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,26,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,27,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,28,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,29,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,30,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,31,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,32,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,33,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,34,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,35,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,36,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,37,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,38,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,39,0.0,0.0,0.0,standing_still,going_straight
3a929e4cb5f2404889bce67fbd5bc79b,pedestrian,40,0.0,0.0,0.0,standing_still,going_straight
