actor_id,type,frame,speed (m/s),heading (rad),yaw_rate (rad/s),longitudinal,lateral
3c988d7c752a49b385f2eea8322652d1,car,0,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,1,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,2,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,3,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,4,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,5,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,6,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,7,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,8,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,9,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,10,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,11,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,12,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,13,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,14,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,15,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,16,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,17,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,18,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,19,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,20,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,21,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,22,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,23,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,24,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,25,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,26,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,27,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,28,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,29,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,30,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,31,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,32,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,33,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,34,0.0,0.0,0.0,standing_still,going_straight
3c988d7c752a49b385f2eea8322652d1,car,35,0.0,0.0,0.0,standing_still,going_straight
