actor_id,type,frame,speed (m/s),heading (rad),yaw_rate (rad/s),longitudinal,lateral
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,0,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,1,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,2,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,3,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,4,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,5,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,6,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,7,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,8,0.0,0.0,0.0,standing_still,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,9,0.0,0.0,0.0,standing_still,turning_right
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,10,0.09,-2.394,-23.942,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,11,0.09,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,12,0.09,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,13,0.09,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,14,0.09,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,15,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,16,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,17,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,18,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,19,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,20,0.1,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,21,0.1,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,22,0.1,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,23,0.1,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,24,0.1,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,25,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,26,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,27,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,28,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,29,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,30,0.11,-2.394,0.0,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,31,0.11,-2.394,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,32,0.11,-2.393,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,33,0.11,-2.392,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,34,0.11,-2.391,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,35,0.11,-2.391,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,36,0.11,-2.39,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,37,0.11,-2.389,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,38,0.11,-2.389,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,39,0.11,-2.388,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,40,0.11,-2.387,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,41,0.11,-2.387,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,42,0.11,-2.386,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,43,0.11,-2.385,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,44,0.11,-2.384,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,45,0.11,-2.384,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,46,0.11,-2.383,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,47,0.11,-2.382,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,48,0.11,-2.382,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,49,0.11,-2.381,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,50,0.11,-2.38,0.007,cruising,going_straight
c5640d5eaa7d42cbbebe7c9bef889b88,bicycle,51,0.11,-2.38,0.007,cruising,going_straight
